DataSet	DataRange	DataStruct	Algorithm	Tweak	tElap	tElapSlower	tInit	tRun	tRunSlower	CheckSum
chembl_22.smi	839195-1007034	GraphUtil+BondMap	Relaxation		1250.8	1.7x	787.5	463.3	1.0x	255265342320637
chembl_22.smi	1007034-1174873	AtomContainer	Relaxation		67425.6	75.6x	0.0	67425.6	123.2x	298817836726655
chembl_22.smi	1007034-1174873	AtomContainer	Relaxation	Improved	4520.0	5.1x	0.0	4520.0	8.3x	298817836726655
chembl_22.smi	1007034-1174873	GraphUtil	Relaxation		914.4	1.0x	367.2	547.2	1.0x	298817836726655
chembl_22.smi	1007034-1174873	AtomRef	Relaxation		1905.1	2.1x	557.2	1347.9	2.5x	298817836726655
chembl_22.smi	1007034-1174873	AtomRef	Relaxation	Xor	1442.4	1.6x	297.3	1145.1	2.1x	298817836726655
chembl_22.smi	1007034-1174873	BondRef	Relaxation		892.1	1.0x	342.8	549.4	1.0x	298817836726655
chembl_22.smi	1007034-1174873	GraphUtil+BondMap	Relaxation		1456.5	1.6x	907.3	549.2	1.0x	298817836726655
chembl_22.smi	1174873-1342712	AtomContainer	Relaxation		126009.3	115.6x	0.0	126009.3	175.9x	339264487948034
chembl_22.smi	1174873-1342712	AtomContainer	Relaxation	Improved	8267.6	7.6x	0.0	8267.6	11.5x	339264487948034
chembl_22.smi	1174873-1342712	GraphUtil	Relaxation		1125.9	1.0x	409.4	716.5	1.0x	339264487948034
chembl_22.smi	1174873-1342712	AtomRef	Relaxation		2430.2	2.2x	616.9	1813.4	2.5x	339264487948034
chembl_22.smi	1174873-1342712	AtomRef	Relaxation	Xor	1857.8	1.7x	329.0	1528.8	2.1x	339264487948034
chembl_22.smi	1174873-1342712	BondRef	Relaxation		1090.1	1.0x	357.9	732.2	1.0x	339264487948034
chembl_22.smi	1174873-1342712	GraphUtil+BondMap	Relaxation		1811.5	1.7x	1094.7	716.9	1.0x	339264487948034
chembl_22.smi	1342712-1510551	AtomContainer	Relaxation		103235.2	101.0x	0.0	103235.2	159.9x	375170275966217
chembl_22.smi	1342712-1510551	AtomContainer	Relaxation	Improved	6876.2	6.7x	0.0	6876.2	10.6x	375170275966217
chembl_22.smi	1342712-1510551	GraphUtil	Relaxation		1037.1	1.0x	391.3	645.8	1.0x	375170275966217
chembl_22.smi	1342712-1510551	AtomRef	Relaxation		2209.6	2.2x	585.3	1624.4	2.5x	375170275966217
chembl_22.smi	1342712-1510551	AtomRef	Relaxation	Xor	1703.8	1.7x	326.5	1377.3	2.1x	375170275966217
chembl_22.smi	1342712-1510551	BondRef	Relaxation		1021.8	1.0x	360.2	661.6	1.0x	375170275966217
chembl_22.smi	1342712-1510551	GraphUtil+BondMap	Relaxation		1674.8	1.6x	1020.3	654.4	1.0x	375170275966217
chembl_22.smi	1510551-1678390	AtomContainer	Relaxation		61873.6	71.6x	0.0	61873.6	117.1x	411295858660229
chembl_22.smi	1510551-1678390	AtomContainer	Relaxation	Improved	4183.8	4.8x	0.0	4183.8	7.9x	411295858660229
chembl_22.smi	1510551-1678390	GraphUtil	Relaxation		885.2	1.0x	356.9	528.3	1.0x	411295858660229
chembl_22.smi	1510551-1678390	AtomRef	Relaxation		1872.2	2.2x	560.6	1311.6	2.5x	411295858660229
chembl_22.smi	1510551-1678390	AtomRef	Relaxation	Xor	1413.4	1.6x	298.6	1114.8	2.1x	411295858660229
chembl_22.smi	1510551-1678390	BondRef	Relaxation		864.4	1.0x	325.8	538.6	1.0x	411295858660229
chembl_22.smi	1510551-1678390	GraphUtil+BondMap	Relaxation		1418.1	1.6x	886.9	531.2	1.0x	411295858660229
